Date,Open,High,Low,Close,Adj Close,Volume,USD_to_EUR,GDP,NonFarm_Payroll,3_month_Libor,Unemployment
43276,2742.939941,2742.939941,2698.669922,2717.070068,2717.070068,3655080000,1.1694,18514.595,150040,2.337,6812
43273,2760.790039,2764.169922,2752.679932,2754.879883,2754.879883,5450550000,1.163,18514.595,150040,2.33888,6812
43272,2769.280029,2769.280029,2744.389893,2749.76001,2749.76001,3300060000,1.16,18514.595,150040,2.33506,6812
43271,2769.72998,2774.860107,2763.909912,2767.320068,2767.320068,3327600000,1.1592,18514.595,150040,2.33188,6812
43270,2752.01001,2765.050049,2743.189941,2762.590088,2762.590088,3661470000,1.1577,18514.595,150040,2.33025,6812
43269,2765.790039,2774.98999,2757.120117,2773.75,2773.75,3287150000,1.1606,18514.595,150040,2.32469,6812
43266,2777.780029,2782.810059,2761.72998,2779.659912,2779.659912,5428790000,1.1616,18514.595,150040,2.32594,6812
43265,2783.209961,2789.060059,2776.52002,2782.48999,2782.48999,3526890000,1.1634,18514.595,150040,2.33469,6812
43264,2787.939941,2791.469971,2774.649902,2775.629883,2775.629883,3779230000,1.1784,18514.595,150040,2.34063,6812
43263,2785.600098,2789.800049,2778.780029,2786.850098,2786.850098,3401010000,1.1792,18514.595,150040,2.33563,6812
43262,2780.179932,2790.209961,2780.169922,2782,2782,3232330000,1.1802,18514.595,150040,2.33263,6812
43259,2765.840088,2779.389893,2763.590088,2779.030029,2779.030029,3123210000,1.1773,18514.595,150040,2.32631,6812
43258,2774.840088,2779.899902,2760.159912,2770.370117,2770.370117,3711330000,1.1815,18514.595,150040,2.32713,6812
43257,2753.25,2772.389893,2748.459961,2772.350098,2772.350098,3651640000,1.1778,18514.595,150040,2.32088,6812
43256,2748.459961,2752.610107,2739.51001,2748.800049,2748.800049,3517790000,1.1672,18514.595,150040,2.31919,6812
43255,2741.669922,2749.159912,2740.540039,2746.870117,2746.870117,3376510000,1.1696,18514.595,150040,2.31381,6812
43252,2718.699951,2736.929932,2718.699951,2734.620117,2734.620117,3684130000,1.1679,18514.595,150040,2.31781,6812
43251,2720.97998,2722.5,2700.679932,2705.27002,2705.27002,4235370000,1.167,18514.595,149345,2.32125,5756
43250,2702.429932,2729.340088,2702.429932,2724.01001,2724.01001,3561050000,1.1664,18514.595,149345,2.30031,5756
43249,2705.110107,2710.669922,2676.810059,2689.860107,2689.860107,3736890000,1.1551,18514.595,149345,2.30719,5756
43245,2723.600098,2727.360107,2714.98999,2721.330078,2721.330078,2995260000,1.1666,18514.595,149345,2.31813,5756
43244,2730.939941,2731.969971,2707.379883,2727.76001,2727.76001,3256030000,1.1729,18514.595,149345,2.31938,5756
43243,2713.97998,2733.330078,2709.540039,2733.290039,2733.290039,3326290000,1.1693,18514.595,149345,2.33,5756
43242,2738.340088,2742.23999,2721.879883,2724.439941,2724.439941,3366310000,1.1783,18514.595,149345,2.33,5756
43241,2735.389893,2739.189941,2725.699951,2733.01001,2733.01001,3019890000,1.1768,18514.595,149345,2.33,5756
43238,2717.350098,2719.5,2709.179932,2712.969971,2712.969971,3368690000,1.1775,18514.595,149345,2.32938,5756
43237,2719.709961,2731.959961,2711.360107,2720.129883,2720.129883,3475400000,1.1798,18514.595,149345,2.33125,5756
43236,2712.620117,2727.76001,2712.169922,2722.459961,2722.459961,3202670000,1.1788,18514.595,149345,2.32563,5756
43235,2718.590088,2718.590088,2701.909912,2711.449951,2711.449951,3290680000,1.1864,18514.595,149345,2.32063,5756
43234,2738.469971,2742.100098,2725.469971,2730.129883,2730.129883,2972660000,1.1976,18514.595,149345,2.33,5756
43231,2722.699951,2732.860107,2717.449951,2727.719971,2727.719971,2862700000,1.1951,18514.595,149345,2.3425,5756
43230,2705.02002,2726.110107,2704.540039,2723.070068,2723.070068,3333050000,1.1896,18514.595,149345,2.355,5756
43229,2678.120117,2701.27002,2674.139893,2697.790039,2697.790039,3909500000,1.1852,18514.595,149345,2.35575,5756
43228,2670.26001,2676.340088,2655.199951,2671.919922,2671.919922,3717570000,1.1863,18514.595,149345,2.3525,5756
43227,2680.340088,2683.350098,2664.699951,2672.629883,2672.629883,3237960000,1.1927,18514.595,149345,2.36906,5756
