Date,Open,High,Low,Close,Adj Close,Volume,USD to EUR,GDP,NonFarm Payroll,3 month Libor,Unemployment,MILKBFP3,LC1,O 1,LH1,KC1,C1,BCOMXAL,VIX,DJUS,DJUSRE,DJUSCL,DL1,NG1,CO1,S1
7/25/2018,2817.72998,2848.030029,2817.72998,2846.070068,2846.070068,3553010000,1.1677,18514.595,148892,2.33688,6730,15.21,107.95,232.5,64.9,109.55,361.5,106.7023,12.14,709.57,319.59,73.76,1.445,2.78,74.54,861.25
7/24/2018,2820.679932,2829.98999,2811.120117,2820.399902,2820.399902,3417530000,1.1684,18514.595,148892,2.33488,6730,15.21,109.025,232.25,66.4,111,359.25,106.3591,12.29,711.1,318.68,71.3,1.425,2.775,73.93,860.75
7/23/2018,2799.169922,2808.610107,2795.139893,2806.97998,2806.97998,2907430000,1.1702,18514.595,148892,2.33531,6730,15.21,108.05,230.5,65.55,110.95,352,105.7022,12.41,704.98,316.26,72.08,1.423,2.732,73.44,858
7/20/2018,2804.550049,2809.699951,2800.01001,2801.830078,2801.830078,3230210000,1.1708,18514.595,148892,2.34156,6730,15.21,108.725,231.5,66.425,111.65,357.25,104.8082,12.62,702.8,317.73,72.24,1.431,2.721,73.06,847.75
7/19/2018,2809.370117,2812.050049,2799.77002,2804.48999,2804.48999,3266700000,1.1604,18514.595,148892,2.34706,6730,15.21,108.925,233.25,66.45,110.65,355.25,104.9984,12.86,701.74,318.18,73.74,1.429,2.757,73.07,849.75
7/18/2018,2811.350098,2816.76001,2805.889893,2815.620117,2815.620117,3089780000,1.1645,18514.595,148892,2.3475,6730,15.21,108.9,232,67.25,108.8,351.25,104.2179,12.87,702.67,321,73.39,1.42,2.769,72.58,846
7/17/2018,2789.340088,2814.189941,2789.23999,2809.550049,2809.550049,3050730000,1.1664,18514.595,148892,2.34194,6730,15.21,108.95,234,67.2,108.15,347.25,104.5949,12.1,704.93,317.74,73.25,1.412,2.721,72.9,842.25
7/16/2018,2797.360107,2801.189941,2793.389893,2798.429932,2798.429932,2812230000,1.171,18514.595,148892,2.33263,6730,15.21,106.425,231.5,67.9,109.25,346.25,104.0918,12.06,703.31,319.22,71.26,1.413,2.74,72.16,839.5
7/13/2018,2796.929932,2804.530029,2791.689941,2801.310059,2801.310059,2614000000,1.1667,18514.595,148892,2.336,6730,15.21,106.925,231.5,69.2,110.3,341.75,104.3892,12.83,700.38,321.12,70.79,1.405,2.759,71.84,829.5
7/12/2018,2783.139893,2799.219971,2781.530029,2798.290039,2798.290039,2821690000,1.1692,18514.595,148892,2.33919,6730,15.21,104.55,237,70.15,109.9,341.25,106.4236,12.18,701.51,322.84,68.83,1.401,2.752,75.33,818.75
7/11/2018,2779.820068,2785.909912,2770.77002,2774.02002,2774.02002,2964740000,1.1722,18514.595,148892,2.337,6730,15.21,105.025,237,70.425,111.55,345.75,106.489,12.58,700.89,323.54,66.93,1.411,2.797,74.45,833.75
7/10/2018,2788.560059,2795.580078,2786.23999,2793.840088,2793.840088,3063850000,1.1728,18514.595,148892,2.33744,6730,15.21,103.85,236,68.8,112.05,340,105.941,13.63,695.13,322.89,68.28,1.398,2.829,73.4,833
7/9/2018,2775.620117,2784.649902,2770.72998,2784.169922,2784.169922,3050040000,1.1744,18514.595,148892,2.33313,6730,15.21,105.45,235.75,69.775,114.8,347.75,109.1573,12.64,700.03,323.71,68.15,1.425,2.788,78.86,855.75
7/6/2018,2737.679932,2764.409912,2733.52002,2759.820068,2759.820068,2554780000,1.1738,18514.595,148892,2.33144,6730,15.21,106.125,238.5,72.775,115.05,354,109.3248,12.69,697.94,322.93,68.17,1.433,2.828,78.07,855.75
7/5/2018,2724.189941,2737.830078,2716.02002,2736.610107,2736.610107,2953420000,1.1697,18514.595,148892,2.33863,6730,15.21,106.375,240.5,75.425,114.1,360.25,108.6327,13.37,691.84,325.48,66.86,1.439,2.858,77.11,877.5
7/3/2018,2733.27002,2736.580078,2711.159912,2713.219971,2713.219971,1911470000,1.1653,18514.595,148892,2.33725,6730,15.21,106.375,240,76.05,109.15,352.25,108.6193,14.97,685.95,323.94,69.55,1.423,2.837,77.39,839.25
7/2/2018,2704.949951,2727.26001,2698.949951,2726.709961,2726.709961,3073650000,1.1604,18514.595,148892,2.3425,6730,15.21,106.45,234.75,76,111.9,352,109.4556,16.14,680.06,320.05,68.19,1.415,2.87,78.24,848
6/29/2018,2727.129883,2743.26001,2718.030029,2718.370117,2718.370117,3565620000,1.1677,18514.595,150040,2.33575,6812,15.21,106.45,234.75,76,111.9,352,109.4556,16.14,680.06,320.05,68.19,1.415,2.87,77.76,848
6/28/2018,2698.689941,2724.340088,2691.98999,2716.310059,2716.310059,3428140000,1.1582,18514.595,150040,2.33738,6812,15.21,106.9,235.25,74.375,111.65,347,109.3002,15.6,682.99,318.09,66.84,1.393,2.862,77.3,853.5
6/27/2018,2728.449951,2746.090088,2699.379883,2699.629883,2699.629883,3776090000,1.1588,18514.595,150040,2.33438,6812,15.18,106.725,250.5,82.875,111.5,350.25,111.149,16.09,680.92,319.48,66.93,1.425,2.924,79.44,858.5
6/26/2018,2722.120117,2732.909912,2715.600098,2723.060059,2723.060059,3555090000,1.1675,18514.595,150040,2.33563,6812,15.18,103.725,243,81.125,112.15,345,110.5596,16.85,680.44,319.28,66.93,1.417,2.94,77.85,861.25
6/25/2018,2742.939941,2742.939941,2698.669922,2717.070068,2717.070068,3655080000,1.1694,18514.595,150040,2.337,6812,15.18,102.725,254,80.225,114.3,352.5,110.9445,17.91,676.41,317.2,65.64,1.415,2.996,77.62,867.5
6/22/2018,2760.790039,2764.169922,2752.679932,2754.879883,2754.879883,5450550000,1.163,18514.595,150040,2.33888,6812,15.18,102.425,241.25,79.125,114.8,352.5,109.7337,15.92,682.61,318.48,72.69,1.394,2.939,76.31,867.25
6/21/2018,2769.280029,2769.280029,2744.389893,2749.76001,2749.76001,3300060000,1.16,18514.595,150040,2.33506,6812,15.18,102.9,241,78.075,114.15,350.5,108.9098,17.33,681.06,317.42,70.46,1.395,2.923,74.73,874.5
6/20/2018,2769.72998,2774.860107,2763.909912,2767.320068,2767.320068,3327600000,1.1592,18514.595,150040,2.33188,6812,15.18,105.9,244.5,79.825,113.85,357.25,110.0037,13.77,690.76,318.24,73.01,1.418,2.945,75.55,894.5
6/19/2018,2752.01001,2765.050049,2743.189941,2762.590088,2762.590088,3661470000,1.1577,18514.595,150040,2.33025,6812,15.18,106.125,242,80.475,112.6,357,108.5731,14.64,689.66,316.19,71.7,1.42,2.975,73.05,880.5
6/18/2018,2765.790039,2774.98999,2757.120117,2773.75,2773.75,3287150000,1.1606,18514.595,150040,2.32469,6812,15.18,106.65,238.75,80.025,113.65,354.25,109.2892,12.79,694.34,314.82,71.77,1.403,2.964,74.74,889.5
6/15/2018,2777.780029,2782.810059,2761.72998,2779.659912,2779.659912,5428790000,1.1616,18514.595,150040,2.32594,6812,15.18,106.425,235,81.875,114.1,353.75,109.0129,13.35,692.76,311.62,71.28,1.393,2.9,75.08,889
6/14/2018,2783.209961,2789.060059,2776.52002,2782.48999,2782.48999,3526890000,1.1634,18514.595,150040,2.33469,6812,15.18,105.175,233.25,83.725,114.45,356,110.2092,12.31,695.55,311.68,73.04,1.399,2.951,75.34,908.5
6/13/2018,2787.939941,2791.469971,2774.649902,2775.629883,2775.629883,3779230000,1.1784,18514.595,150040,2.34063,6812,15.18,104.775,233.5,81.725,115.2,361.25,109.8904,11.98,696.59,311.49,73.7,1.417,3.022,73.44,905.5
6/12/2018,2785.600098,2789.800049,2778.780029,2786.850098,2786.850098,3401010000,1.1792,18514.595,150040,2.33563,6812,15.18,101.875,230,81.625,115.7,363,112.3327,12.12,697.24,311.88,76.76,1.413,2.965,75.94,927.25
6/11/2018,2780.179932,2790.209961,2780.169922,2782,2782,3232330000,1.1802,18514.595,150040,2.33263,6812,15.18,103.9,233,82.775,116.35,376,112.7363,12.94,695.34,309.38,75.92,1.437,2.963,76.74,936
6/8/2018,2765.840088,2779.389893,2763.590088,2779.030029,2779.030029,3123210000,1.1773,18514.595,150040,2.32631,6812,15.18,104.3,242.25,81.45,117.35,377.5,112.0933,12.34,698.26,315.59,75.31,1.444,2.939,75.88,954
6/7/2018,2774.840088,2779.899902,2760.159912,2770.370117,2770.370117,3711330000,1.1815,18514.595,150040,2.32713,6812,15.18,104.175,242.5,79.4,117.1,367.25,112.3821,12.35,696.85,313.79,76.46,1.426,2.949,76.46,953.75
6/6/2018,2753.25,2772.389893,2748.459961,2772.350098,2772.350098,3651640000,1.1778,18514.595,150040,2.32088,6812,15.18,105.775,240.75,80.725,117.25,377.75,112.2271,12.18,696.11,314.13,77.04,1.447,2.89,76.46,969.25
6/5/2018,2748.459961,2752.610107,2739.51001,2748.800049,2748.800049,3517790000,1.1672,18514.595,150040,2.31919,6812,15.18,104.15,239,79.45,115.7,376.25,112.6484,12.13,693.86,312.85,80.14,1.446,2.93,77.32,974.25
6/4/2018,2741.669922,2749.159912,2740.540039,2746.870117,2746.870117,3376510000,1.1696,18514.595,150040,2.31381,6812,15.18,104.575,240.75,79.95,118.25,378.25,111.6069,11.64,694.5,313.09,81.51,1.434,2.896,75.36,994.25
6/1/2018,2718.699951,2736.929932,2718.699951,2734.620117,2734.620117,3684130000,1.1679,18514.595,150040,2.31781,6812,15.18,104.05,244,77.025,119.45,383.75,111.6,12.4,688.54,312.14,82.64,1.462,2.89,75.38,1001.25
5/31/2018,2720.97998,2722.5,2700.679932,2705.27002,2705.27002,4235370000,1.167,18514.595,149345,2.32125,5756,15.18,102.45,241.25,77.925,121.5,380.75,111.1807,12.74,687.82,313.15,79.46,1.456,2.93,75.29,1001.75
5/30/2018,2702.429932,2729.340088,2702.429932,2724.01001,2724.01001,3561050000,1.1664,18514.595,149345,2.30031,5756,15.18,103.625,246,78.8,122.75,391.5,111.7665,13.46,684.63,310.33,79.76,1.478,2.962,76.79,1021.25
5/29/2018,2705.110107,2710.669922,2676.810059,2689.860107,2689.860107,3736890000,1.1551,18514.595,149345,2.30719,5756,15.18,105.05,244.75,76.625,123.7,394,112.0609,15.43,677.49,309.06,76.9,1.462,2.952,77.59,1018.5
5/25/2018,2723.600098,2727.360107,2714.98999,2721.330078,2721.330078,2995260000,1.1666,18514.595,149345,2.31813,5756,14.47,106.125,238.75,77.325,120.3,393.5,112.1057,14.94,682.28,310.09,76.22,1.46,2.885,77.5,1023
5/24/2018,2730.939941,2731.969971,2707.379883,2727.76001,2727.76001,3256030000,1.1729,18514.595,149345,2.31938,5756,14.47,103.125,244,75.675,120.25,400,110.9776,17.02,673.7,306.05,75.36,1.487,2.875,75.39,1030.5
5/23/2018,2713.97998,2733.330078,2709.540039,2733.290039,2733.290039,3326290000,1.1693,18514.595,149345,2.33,5756,14.47,104.65,248.75,74.2,120.4,406,111.9273,13.22,680.94,305.06,72.34,1.501,2.939,75.3,1041.5
5/22/2018,2738.340088,2742.23999,2721.879883,2724.439941,2724.439941,3366310000,1.1783,18514.595,149345,2.33,5756,14.47,104.65,248.75,74.2,120.4,406,111.9273,13.22,680.94,305.06,72.34,1.501,2.939,76.44,1041.5
5/21/2018,2735.389893,2739.189941,2725.699951,2733.01001,2733.01001,3019890000,1.1768,18514.595,149345,2.33,5756,14.47,104.4,244,74.825,120.55,404.25,113.5702,12.53,682.43,303.83,73.95,1.497,2.94,78.79,1035.75
5/18/2018,2717.350098,2719.5,2709.179932,2712.969971,2712.969971,3368690000,1.1775,18514.595,149345,2.32938,5756,14.47,105.45,252,74.6,119.35,408.5,113.4855,12.58,683.64,304.7,74.19,1.504,2.914,79.8,1039.25
5/17/2018,2719.709961,2731.959961,2711.360107,2720.129883,2720.129883,3475400000,1.1798,18514.595,149345,2.33125,5756,14.47,104.9,249.75,73.125,120.85,404.75,113.8383,13.22,681.57,302.02,76.08,1.492,2.908,79.57,1030.5
5/16/2018,2712.620117,2727.76001,2712.169922,2722.459961,2722.459961,3202670000,1.1788,18514.595,149345,2.32563,5756,14.47,104.925,245.25,74,120.2,402.75,113.2519,13.08,684.01,301.78,77.46,1.489,2.81,79.22,1025.25
5/15/2018,2718.590088,2718.590088,2701.909912,2711.449951,2711.449951,3290680000,1.1864,18514.595,149345,2.32063,5756,14.47,102.4,242,74.7,118,402.5,112.7854,13.42,678.97,298.6,76.57,1.464,2.847,78.51,998.5
5/14/2018,2738.469971,2742.100098,2725.469971,2730.129883,2730.129883,2972660000,1.1976,18514.595,149345,2.33,5756,14.47,103.05,241,76.475,117.9,395.25,113.2055,13.43,680.57,298.07,76.64,1.456,2.859,79.3,995
5/11/2018,2722.699951,2732.860107,2717.449951,2727.719971,2727.719971,2862700000,1.1951,18514.595,149345,2.3425,5756,14.47,101.825,241.25,75.9,117.3,399.25,112.8847,13.42,680.92,299.53,75.43,1.471,2.815,79.28,999.75
5/10/2018,2705.02002,2726.110107,2704.540039,2723.070068,2723.070068,3333050000,1.1896,18514.595,149345,2.355,5756,14.47,102.975,240.25,74.725,116.95,402.25,112.3899,14.63,678.03,300.54,77.33,1.491,2.836,78.43,1018.75
5/9/2018,2678.120117,2701.27002,2674.139893,2697.790039,2697.790039,3909500000,1.1852,18514.595,149345,2.35575,5756,14.47,104.625,239.25,76.15,117.6,396.5,112.9137,12.93,682.36,305.21,76.64,1.478,2.842,78.23,1017.75
5/8/2018,2670.26001,2676.340088,2655.199951,2671.919922,2671.919922,3717570000,1.1863,18514.595,149345,2.3525,5756,14.47,107.625,234,75.1,119.4,396.5,112.2766,12.65,682.07,307.44,74.89,1.459,2.806,77.12,1003.25
5/7/2018,2680.340088,2683.350098,2664.699951,2672.629883,2672.629883,3237960000,1.1927,18514.595,149345,.,5756,14.47,107.525,242.75,77.325,119.55,402,112.6133,13.23,681.09,308.69,74.44,1.464,2.814,77.47,1021.25
5/4/2018,2621.449951,2670.929932,2615.320068,2663.419922,2663.419922,3327220000,1.1946,18514.595,149345,2.36906,5756,14.47,105.675,240.5,76.575,118.75,402.75,111.7997,13.42,675.12,305.94,74.98,1.467,2.737,77.21,1015.75
5/3/2018,2628.080078,2637.139893,2594.620117,2629.72998,2629.72998,3851470000,1.197,18514.595,149345,2.36313,5756,14.47,106.3,240,76.3,119.6,403.25,110.5322,14.71,668.93,303.99,73.35,1.474,2.732,74.85,1020.25
5/2/2018,2654.23999,2660.870117,2631.699951,2635.669922,2635.669922,4010770000,1.1968,18514.595,149345,2.36294,5756,14.47,105.175,236.25,74.175,120.75,400.75,111.4166,14.75,668.82,305.79,70.18,1.477,2.741,76.17,1011.5
5/1/2018,2642.959961,2655.27002,2625.409912,2654.800049,2654.800049,3559850000,1.2,18514.595,149345,2.35375,5756,14.47,106.05,235,73.525,122.6,406.25,110.7007,14.77,666.1,304.24,68.21,1.498,2.711,74.87,1036.75
4/30/2018,2682.51001,2682.870117,2648.040039,2648.050049,2648.050049,3734530000,1.2074,18514.595,148372,2.36294,5932,14.47,106.525,237,73.5,124.35,408,109.4884,15.9,657.63,301.11,61.61,1.486,2.726,73.62,1053.25
